GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US64402,64402,ZCTA5 64402,2622,214,2537,212,45,24,13,16,21,9,0,11,0,11,6,10,0,11,6,10
8600000US64420,64420,ZCTA5 64420,94,56,94,56,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64421,64421,ZCTA5 64421,665,123,626,118,1,2,31,39,0,11,0,11,0,11,7,11,0,11,7,11
8600000US64422,64422,ZCTA5 64422,251,86,251,86,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64423,64423,ZCTA5 64423,840,121,804,113,5,8,1,4,0,11,6,9,0,11,24,26,0,11,24,26
8600000US64424,64424,ZCTA5 64424,4322,164,4174,167,61,51,0,11,0,11,3,7,7,12,77,47,0,11,77,47
8600000US64426,64426,ZCTA5 64426,313,55,311,54,0,11,0,11,0,11,1,2,0,11,1,2,0,11,1,2
8600000US64427,64427,ZCTA5 64427,723,136,681,129,21,28,0,11,0,11,0,11,0,11,21,28,5,9,16,26
8600000US64428,64428,ZCTA5 64428,842,121,805,117,10,12,5,7,0,11,0,11,17,23,5,7,5,7,0,11
8600000US64429,64429,ZCTA5 64429,13565,520,11444,599,1424,215,50,33,129,121,34,43,59,37,425,173,4,7,421,171
8600000US64430,64430,ZCTA5 64430,675,139,658,138,0,11,0,11,6,8,0,11,2,5,9,8,0,11,9,8
8600000US64431,64431,ZCTA5 64431,398,69,390,69,0,11,0,11,0,11,0,11,0,11,8,7,4,6,4,5
8600000US64432,64432,ZCTA5 64432,161,66,154,66,7,14,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64433,64433,ZCTA5 64433,231,78,213,77,5,8,0,11,5,11,8,14,0,11,0,11,0,11,0,11
8600000US64434,64434,ZCTA5 64434,542,94,526,92,0,11,1,4,6,9,0,11,2,3,7,8,2,3,5,7
8600000US64436,64436,ZCTA5 64436,869,215,869,215,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64437,64437,ZCTA5 64437,572,76,555,73,1,2,6,8,7,8,0,11,0,11,3,4,0,11,3,4
8600000US64438,64438,ZCTA5 64438,268,95,263,96,0,11,5,7,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64439,64439,ZCTA5 64439,1717,357,1505,313,34,48,1,4,52,72,0,11,7,8,118,110,6,10,112,108
8600000US64440,64440,ZCTA5 64440,618,124,610,124,0,11,8,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US64441,64441,ZCTA5 64441,136,63,136,63,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
